,yesNo,fileNames
89,1.0,Y246.JPG
101,1.0,Y12.jpg
233,0.0,no 3.jpg
172,0.0,no 98.jpg
55,1.0,Y108.jpg
224,0.0,no 95.jpg
72,1.0,Y32.jpg
48,1.0,Y95.jpg
8,1.0,Y46.jpg
219,0.0,42 no.jpg
50,1.0,Y56.jpg
181,0.0,36 no.jpg
75,1.0,Y244.JPG
59,1.0,Y18.JPG
183,0.0,47 no.jpg
190,0.0,38 no.jpg
203,0.0,no 90.jpg
148,1.0,Y165.JPG
82,1.0,Y247.JPG
206,0.0,No18.jpg
174,0.0,7 no.jpg
222,0.0,50 no.jpg
12,1.0,Y195.JPG
22,1.0,Y51.jpg
88,1.0,Y252.jpg
232,0.0,no 91.jpeg
15,1.0,Y168.jpg
109,1.0,Y17.jpg
142,1.0,Y60.jpg
105,1.0,Y103.jpg
198,0.0,N11.jpg
121,1.0,Y162.jpg
153,1.0,Y89.JPG
146,1.0,Y8.jpg
46,1.0,Y185.jpg
144,1.0,Y61.jpg
81,1.0,Y251.JPG
132,1.0,Y65.JPG
240,0.0,no 5.jpeg
110,1.0,Y16.JPG
228,0.0,37 no.jpg
102,1.0,Y13.jpg
189,0.0,no 923.jpg
116,1.0,Y28.jpg
194,0.0,1 no.jpeg
218,0.0,21 no.jpg
92,1.0,Y39.jpg
94,1.0,Y10.jpg
6,1.0,Y53.jpg
126,1.0,Y98.JPG
152,1.0,Y62.jpg
27,1.0,Y182.JPG
74,1.0,Y250.jpg
193,0.0,34 no.jpg
139,1.0,Y158.JPG
173,0.0,No11.jpg
212,0.0,40 no.jpg
164,0.0,no.jpg
97,1.0,Y114.JPG
237,0.0,N5.jpg
33,1.0,Y96.jpg
165,0.0,3 no.jpg
154,1.0,Y166.JPG
18,1.0,Y78.jpg
250,0.0,48 no.jpeg
119,1.0,Y105.jpg
51,1.0,Y184.JPG
226,0.0,no 94.jpg
69,1.0,Y33.jpg
247,0.0,27 no.jpg
63,1.0,Y25.jpg
241,0.0,4 no.jpg
136,1.0,Y148.JPG
21,1.0,Y45.JPG
117,1.0,Y29.jpg
236,0.0,13 no.jpg
103,1.0,Y249.JPG
188,0.0,45 no.jpg
3,1.0,Y180.jpg
62,1.0,Y31.jpg
111,1.0,Y258.JPG
19,1.0,Y50.JPG
25,1.0,Y92.jpg
90,1.0,Y115.JPG
238,0.0,6 no.jpg
39,1.0,Y54.jpg
38,1.0,Y40.JPG
107,1.0,Y113.JPG
118,1.0,Y15.jpg
44,1.0,Y3.jpg
86,1.0,Y34.jpg
130,1.0,Y59.JPG
120,1.0,Y111.JPG
211,0.0,31 no.jpg
61,1.0,Y30.jpg
227,0.0,No21.jpg
32,1.0,Y192.JPG
41,1.0,Y193.JPG
134,1.0,Y58.JPG
170,0.0,N15.jpg
214,0.0,17 no.jpg
115,1.0,Y14.jpg
129,1.0,Y161.JPG
231,0.0,25 no.jpg
106,1.0,Y107.jpg
243,0.0,no 4.jpg
100,1.0,Y248.JPG
161,0.0,no 9.png
176,0.0,No13.jpg
13,1.0,Y7.jpg
196,0.0,No15.jpg
151,1.0,Y76.jpg
34,1.0,Y82.jpg
108,1.0,Y259.JPG
177,0.0,44no.jpg
40,1.0,Y97.JPG
175,0.0,12 no.jpg
252,0.0,N2.JPG
204,0.0,N20.JPG
7,1.0,Y52.jpg
1,1.0,Y6.jpg
185,0.0,No16.jpg
220,0.0,No22.jpg
157,0.0,41 no.jpg
180,0.0,28 no.jpg
234,0.0,46 no.jpg
140,1.0,Y9.jpg
216,0.0,no 96.jpg
159,0.0,no 10.jpg
162,0.0,no 7.jpeg
36,1.0,Y41.jpg
122,1.0,Y99.JPG
49,1.0,Y42.jpg
4,1.0,Y90.jpg
197,0.0,5 no.jpg
138,1.0,Y170.JPG
91,1.0,Y101.jpg
133,1.0,Y70.jpg
135,1.0,Y160.JPG
205,0.0,N21.jpg
207,0.0,15 no.jpg
64,1.0,Y19.JPG
2,1.0,Y194.jpg
68,1.0,Y255.JPG
79,1.0,Y37.jpg
137,1.0,Y164.JPG
155,0.0,30 no.jpg
223,0.0,No20.jpg
30,1.0,Y169.jpg
26,1.0,Y92.png
225,0.0,N19.JPG
67,1.0,Y109.JPG
0,1.0,Y157.JPG
10,1.0,Y85.JPG
11,1.0,Y181.jpg
23,1.0,Y79.jpg
29,1.0,Y4.jpg
31,1.0,Y186.jpg
42,1.0,Y187.jpg
43,1.0,Y1.jpg
45,1.0,Y146.JPG
52,1.0,Y2.jpg
53,1.0,Y147.JPG
56,1.0,Y120.JPG
58,1.0,Y256.JPG
65,1.0,Y257.jpg
66,1.0,Y243.JPG
71,1.0,Y26.jpg
78,1.0,Y23.JPG
80,1.0,Y245.jpg
83,1.0,Y253.JPG
87,1.0,Y20.jpg
93,1.0,Y11.jpg
96,1.0,Y100.JPG
98,1.0,Y102.jpg
99,1.0,Y116.JPG
